Taxonomy ID	X	Sulfur respiration	Sulfite respiration	Chemoheterotrophy	Thiosulfate respiration	Nitrate denitrification	Arsenate respiration	Arsenate reduction	Nitrite denitrification	Aerobic nitrite oxidation	Nitrous oxide denitrification	Nitrification	Denitrification	Knallgas bacteria	Hydrogen oxidation	Fermentation	Nitrate ammonification	Nitrite ammonification	Nitrite respiration	Cellulolysis	Xylanolysis	Aromatic compound degradation	Sulfur oxidation	Thiosulfate oxidation	Manganese respiration	Aerobic chemoheterotrophy	Aromatic hydrocarbon degradation	Fumarate respiration	Hydrocarbon degradation	Iron respiration	Nitrate respiration	Sulfate respiration	Nitrate reduction	Nitrogen respiration	Sulfur compounds respiration	Chloroplasts	Ureolysis	
c__Gammaproteobacteria;	OTU_22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Gammaproteobacteria	OTU_23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	OTU_24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Firmicutes	OTU_25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
c__Gammaproteobacteria;	OTU_26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
c__Alphaproteobacteria;	OTU_27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Betaproteobacteria	OTU_28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
p__Firmicutes;	OTU_29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
c__Alphaproteobacteria;	OTU_30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Actinobacteria	OTU_31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
p__Bacteroidetes;	OTU_32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
c__Betaproteobacteria;	OTU_33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Rhodothermaeota	OTU_34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
