Samples	Shannon Index
HL	2.677950003
HL	2.864738512
HL	2.592787427
HR	3.295483597
HR	3.222520736
HR	3.433385345
ML	2.832747226
ML	3.193630938
ML	3.222410678
MR	2.975521557
MR	2.802949744
MR	3.417403008
LL	3.135788187
LL	3.063282135
LL	2.976544517
LR	3.211631922
LR	3.283661928
LR	3.227441111
RL	3.485761264
RL	2.997756703
RL	3.146132507
RR	3.454274846
RR	3.541121509
RR	3.316362413
