Bioagents	Shoot_Length
MixB	90
MixB	92
MixB	93
MixB	94
MixB	96
MixA	104
MixA	96
MixA	98
MixA	103
MixA	100
T3302	85
T3302	87
T3302	90
T3302	89
T3302	91
MR3	84
MR3	85
MR3	86
MR3	87
MR3	90
RR28	82
RR28	81
RR28	80
RR28	88
RR28	86
RL3	60
RL3	61
RL3	64
RL3	65
RL3	66
MR10	58
MR10	60
MR10	63
MR10	62
MR10	64
RR11	65
RR11	62
RR11	69
RR11	64
RR11	70
CK	52
CK	54
CK	56
CK	55
CK	58
