Bioagents	Shoot_Length
MixA	65
MixA	64
MixA	62
MixA	63
MixA	60
MixB	59
MixB	56
MixB	57
MixB	55
MixB	54
T3302	53
T3302	52
T3302	47
T3302	49
T3302	48
MR3	55
MR3	54
MR3	53
MR3	51
MR3	50
RR28	48
RR28	44
RR28	45
RR28	43
RR28	42
RL3	39
RL3	33.7
RL3	35
RL3	32
RL3	37
MR10	36
MR10	34
MR10	35
MR10	39
MR10	38
RR11	40
RR11	38
RR11	39
RR11	37
RR11	45
CK	29
CK	28
CK	26
CK	31
CK	33
