Bioagents	Shoot_Length
MixB	24
MixB	23
MixB	26.35
MixB	25
MixB	28
MixA	28
MixA	29
MixA	30
MixA	31
MixA	32
T3302	18
T3302	19
T3302	21
T3302	22
T3302	23
MR3	19
MR3	22
MR3	20
MR3	23
MR3	24
RR28	20
RR28	21
RR28	24
RR28	23
RR28	25
RL3	14
RL3	15
RL3	16
RL3	17
RL3	18
MR10	16
MR10	10
MR10	13
MR10	14
MR10	15
RR11	10
RR11	13
RR11	12.3
RR11	11
RR11	14.5
CK	5
CK	6
CK	7
CK	8
CK	10
