Bioagents	Shoot_Length
MixB	54
MixB	56
MixB	55
MixB	57
MixB	59
MixA	60
MixA	63
MixA	66
MixA	64
MixA	59
T3302	50
T3302	52
T3302	55
T3302	54
T3302	53
MR3	49
MR3	50
MR3	51
MR3	52
MR3	55
RR28	48
RR28	49
RR28	51
RR28	50
RR28	53
RL3	29
RL3	27
RL3	36
RL3	33
RL3	34
MR10	32
MR10	31
MR10	33
MR10	30
MR10	35
RR11	35
RR11	33
RR11	35
RR11	32
RR11	37
CK	23
CK	22
CK	25
CK	24
CK	27
